username,time,followed,private,notavaliable,toomanyfollowers,liked,target,followedback,cantunfollow
d.bogus2,1691436985.9548807,False,False,False,False,False,thenitrozyniak,False,False
gocha_szlocha,1691437022.5549176,False,False,False,False,True,thenitrozyniak,False,False
igacyl,1691437096.2527966,False,False,False,True,False,thenitrozyniak,False,False
izq_g98,1691437160.1800144,False,False,False,True,False,thenitrozyniak,False,False
jakubchr,1691437221.5322113,False,False,False,False,False,thenitrozyniak,False,False
juliaannasusik,1691437259.867175,False,False,False,False,False,thenitrozyniak,False,False
kamka.x,1691437298.916688,False,False,False,False,True,thenitrozyniak,False,False
klaudia_arnhold,1691437371.835933,False,False,False,False,False,thenitrozyniak,False,False
ziebalena387,1691437406.1037233,False,False,False,False,False,thenitrozyniak,False,False
m_pr1vvv,1691437495.3606372,False,True,False,False,False,thenitrozyniak,False,False
kasiakasperczykmakeup,1691437541.6909013,False,False,False,True,True,thenitrozyniak,False,False
nikolaciaaa_,1691437571.871765,False,False,False,False,False,thenitrozyniak,False,False
olek_korek,1691437600.2420964,False,False,False,False,False,thenitrozyniak,True,False
patryvja.a,1691437628.4681094,False,False,False,False,False,thenitrozyniak,False,False
paula_3489_,1691437676.9762983,False,True,False,False,False,thenitrozyniak,False,False
rvdeklendecki,1691437723.6978798,False,True,False,False,False,thenitrozyniak,False,False
stokrotos_1312,1691437804.7189577,False,True,False,False,False,thenitrozyniak,False,False
szymek_zieba15,1691437863.2547903,False,True,False,False,False,thenitrozyniak,False,False
catfromcheshire2099,1691437899.5945485,False,False,False,False,False,thenitrozyniak,False,False
maron.szymon,1691437942.212085,False,False,False,False,False,thenitrozyniak,False,False
werciax_720,1691437994.560845,False,True,False,False,False,thenitrozyniak,False,False
weragopla,1691438028.694064,False,False,False,False,False,thenitrozyniak,False,False
zooz.olka,1691438060.7976637,False,False,False,False,False,thenitrozyniak,False,False
kinnnga_5,1691438154.3426032,False,True,False,False,False,thenitrozyniak,False,False
sikorkaa_xd,1691438229.158204,False,False,False,False,False,thenitrozyniak,False,False
xpatryycjaa,1691438263.394923,False,False,False,False,False,thenitrozyniak,False,False
s.kotlinski,1691438330.3854773,False,False,False,False,False,thenitrozyniak,False,False
dwroblewski0,1691438358.6092424,False,False,False,False,False,thenitrozyniak,False,False
_sebastian_lambrych_,1691438434.027454,False,False,False,False,False,thenitrozyniak,False,False
_julkaq95_,1691438477.0321722,False,False,False,False,True,thenitrozyniak,False,False
kayaaa.vvk,1691438523.949731,False,True,False,False,False,thenitrozyniak,False,False
barteklipin,1691438605.138276,False,True,False,False,False,isamupt,False,False
ilovecookies4611,1691438659.7230854,False,True,False,False,False,isamupt,False,False
gdhsnwk,1691438716.2048268,False,True,False,False,False,isamupt,False,False
damian_karda,1691438771.367147,False,True,False,False,False,isamupt,False,False
kata.rzyna3904,1691438815.6488645,False,False,False,False,False,isamupt,True,False
egotopqq,1691438846.1175854,False,False,False,False,False,isamupt,False,False
mor.ningthoughts70,1691438913.0810354,False,False,False,False,False,isamupt,False,False
trzaskavsky_,1691438994.1599638,False,True,False,False,False,isamupt,False,False
4kacza,1691439073.8020034,False,True,False,False,False,isamupt,False,False
winstoniaraa,1691439126.4687724,False,False,False,False,True,isamupt,False,False
anielakolmer,1691439158.7067895,False,False,False,False,False,isamupt,False,False
bartoszpopek,1691439204.1030753,False,False,False,False,False,isamupt,False,False
bmcclark,1691439234.2566078,False,False,False,False,False,isamupt,False,False
da.wid9674,1691439264.432373,False,False,False,False,False,isamupt,False,False
pacholecdawid13,1691439337.309799,False,False,False,False,False,isamupt,False,False
izq_g98,1691439395.3107414,False,False,False,True,False,isamupt,False,False
bubson_1,1691439464.496295,False,False,False,False,False,isamupt,False,False
juliicvv,1691439508.8951032,False,False,False,False,False,isamupt,False,False
juliatomkowiak,1691439599.8372896,False,True,False,False,False,isamupt,False,False
juli.ta070,1691439628.0510664,False,False,False,False,False,isamupt,True,False
julka._serce,1691439686.799659,False,False,False,False,False,isamupt,False,False
